instance_name, exec_time, random_seed, constraints_type, hot_start, solution_value,size
"6.atsp",11.491826253,"258879","fcg","none",1608.0,
"7.atsp",14.601358195,"258879","fcg","none",1839.0,
"1.atsp",6.88404344,"40336","fcg","none",39.0,
"10.atsp",43.559628127,"40336","fcg","none",14422.0,
"2.atsp",26.695236798,"40336","fcg","none",6905.0,
"3.atsp",7.163678426,"40336","fcg","none",1286.0,
"4.atsp",15.385279337,"40336","fcg","none",1530.0,
"5.atsp",11.294719711,"40336","fcg","none",1776.0,
"6.atsp",12.550132328,"40336","fcg","none",1608.0,
"7.atsp",14.136215851,"40336","fcg","none",1839.0,
"1.atsp",6.968821731,"860804","fcg","none",39.0,
"10.atsp",43.048787712,"860804","fcg","none",14422.0,
"2.atsp",29.425243251,"860804","fcg","none",6905.0,
"3.atsp",9.69194613,"860804","fcg","none",1286.0,
"4.atsp",9.534569245,"860804","fcg","none",1530.0,
"5.atsp",11.8831339,"860804","fcg","none",1776.0,
"6.atsp",12.671101814,"860804","fcg","none",1608.0,
"7.atsp",12.534178271,"860804","fcg","none",1839.0,
"1.atsp",6.889485083,"393025","fcg","none",39.0,
"10.atsp",42.560338281,"393025","fcg","none",14422.0,
"2.atsp",26.70257916,"393025","fcg","none",6905.0,
"3.atsp",7.884015542,"393025","fcg","none",1286.0,
"4.atsp",8.64800601,"393025","fcg","none",1530.0,
"5.atsp",11.689544077,"393025","fcg","none",1776.0,
"6.atsp",12.602202093,"393025","fcg","none",1608.0,
"7.atsp",13.18891659,"393025","fcg","none",1839.0,
"1.atsp",7.409680169,"481437","mtz","none",39.0,
"10.atsp",63.903524883,"481437","mtz","none",14422.0,
"2.atsp",34.911821912,"481437","mtz","none",6905.0,
"3.atsp",7.150567036,"481437","mtz","none",1286.0,
"4.atsp",7.646635753,"481437","mtz","none",1530.0,
"5.atsp",14.018351598,"481437","mtz","none",1776.0,
"6.atsp",10.948758543,"481437","mtz","none",1608.0,
"7.atsp",24.706877008,"481437","mtz","none",1839.0,
"1.atsp",7.490889227,"428967","claus","none",39.0,
"10.atsp",150.202072288,"428967","claus","none",14422.0,
"2.atsp",55.126096461,"428967","claus","none",6905.0,
"3.atsp",11.530137243,"428967","claus","none",1286.0,
"4.atsp",21.934572691,"428967","claus","none",1530.0,
"5.atsp",144.905781705,"428967","claus","none",1776.0,
"6.atsp",143.437930846,"428967","claus","none",1608.0,
"7.atsp",294.500441641,"428967","claus","none",1839.0,

"1.atsp",9.960094342,"416706","mtz","none",39.0,
"10.atsp",65.292869863,"416706","mtz","none",14422.0,48
"2.atsp",34.393089392,"416706","mtz","none",6905.0,53
"3.atsp",7.29612484,"416706","mtz","none",1286.0,34
"4.atsp",7.777894063,"416706","mtz","none",1530.0,39
"5.atsp",13.882084054,"416706","mtz","none",1776.0,48
"6.atsp",13.201639057,"416706","mtz","none",1608.0,56
"7.atsp",25.568547926,"416706","mtz","none",1839.0,65
"1.atsp",6.516446571,"404981","claus","none",39.0,17
"10.atsp",150.683748383,"404981","claus","none",14422.0,48
"2.atsp",56.718150859,"404981","claus","none",6905.0,53
"3.atsp",10.586483933,"404981","claus","none",1286.0,34
